subject,bin,probE,source,draw
16,2,0.436619718309859,simulated,2
16,3,0.591549295774648,simulated,2
16,4,0.506849315068493,simulated,2
16,5,0.458333333333333,simulated,2
17,1,0.611111111111111,simulated,2
17,2,0.541666666666667,simulated,2
17,3,0.486111111111111,simulated,2
17,4,0.541666666666667,simulated,2
17,5,0.513888888888889,simulated,2
18,1,0.293103448275862,simulated,2
18,2,0.413793103448276,simulated,2
18,3,0.491228070175439,simulated,2
18,4,0.517241379310345,simulated,2
18,5,0.5,simulated,2
19,1,0.666666666666667,simulated,2
19,2,0.48,simulated,2
19,3,0.411764705882353,simulated,2
19,4,0.42,simulated,2
19,5,0.529411764705882,simulated,2
20,1,0.513888888888889,simulated,2
20,2,0.625,simulated,2
20,3,0.583333333333333,simulated,2
20,4,0.444444444444444,simulated,2
20,5,0.444444444444444,simulated,2
21,1,0.763888888888889,simulated,2
21,2,0.583333333333333,simulated,2
21,3,0.527777777777778,simulated,2
21,4,0.402777777777778,simulated,2
21,5,0.388888888888889,simulated,2
22,1,0.611111111111111,simulated,2
22,2,0.549295774647887,simulated,2
22,3,0.465753424657534,simulated,2
22,4,0.5,simulated,2
22,5,0.527777777777778,simulated,2
23,1,0.450704225352113,simulated,2
23,2,0.422535211267606,simulated,2
23,3,0.442857142857143,simulated,2
23,4,0.492957746478873,simulated,2
23,5,0.563380281690141,simulated,2
24,1,0.597222222222222,simulated,2
24,2,0.47887323943662,simulated,2
24,3,0.493150684931507,simulated,2
24,4,0.5,simulated,2
24,5,0.527777777777778,simulated,2
25,1,0.666666666666667,simulated,2
25,2,0.611111111111111,simulated,2
25,3,0.5,simulated,2
25,4,0.402777777777778,simulated,2
25,5,0.375,simulated,2
26,1,0.652777777777778,simulated,2
26,2,0.541666666666667,simulated,2
26,3,0.486111111111111,simulated,2
26,4,0.444444444444444,simulated,2
26,5,0.416666666666667,simulated,2
2,1,0.527777777777778,simulated,3
2,2,0.583333333333333,simulated,3
2,3,0.444444444444444,simulated,3
2,4,0.472222222222222,simulated,3
2,5,0.458333333333333,simulated,3
3,1,0.450704225352113,simulated,3
3,2,0.464788732394366,simulated,3
3,3,0.563380281690141,simulated,3
3,4,0.458333333333333,simulated,3
3,5,0.507042253521127,simulated,3
7,1,0.652777777777778,simulated,3
